"NAME","TOTPOP","RATED","STATE"
"Schuylkill County Prison",176,270,39
"Washington County Correctional Facility",321,407,39
"Westmoreland County Prison",530,723,39
"York County Prison",917,2615,39
"Philadelphia Department of Prisons",4649,5371,39
"George W. Hill Correctional Facility",1281,1883,39
"Allendale County Detention Center",17,80,41
"Anderson County Detention Center",413,245,41
"Charleston County Sheriffs Office",984,1693,41
"Dorchester County Sheriffs Office",253,264,41
"Florence County Sheriffs Office",456,663,41
"Georgetown County Detention Center",98,212,41
"Greenville County Detention Center",1367,1277,41
"Horry County Sheriffs Office",818,1034,41
"Jasper County Detention Center",95,160,41
"Lancaster County Sheriffs Office",199,121,41
"Lexington County Sheriffs Department",603,599,41
"Oconee County Sheriffs Office",245,239,41
"Pickens County Sheriffs Office",308,379,41
"Alvin S. Glenn Detention Center",1224,1008,41
"Spartanburg County Detention Facility",1388,496,41
"York County Sheriffs Office Detention Division",479,377,41
"Orangeburg County Detention Center",331,250,41
"Sumter-Lee Regional Detention Center",432,352,41
"Bon Homme County Sheriffs Office",4,6,42
"Hughes County Sheriffs Office",132,168,42
"Lake County Sheriffs Office",11,26,42
"Lawrence County Sheriffs Office",49,53,42
"Pennington County Jail",638,662,42
"Anderson County Sheriffs Department",395,434,43
"Bedford County Sheriffs Department",277,417,43
"Benton County Sheriffs Office",61,140,43
"Bledsoe County Sheriffs Office",92,152,43
"Blount County Sheriffs Office",336,350,43
"Campbell County Sheriffs Office",302,322,43
"Carter County Sheriffs Office",211,304,43
"Decatur County Sheriffs Office",42,60,43
"Dickson County Sheriffs Office",339,399,43
"Fayette County Sheriffs Office",73,189,43
"Greene County Jail",357,439,43
"Hamblen County Sheriffs Department",357,255,43
"Silverdale Correctional Facility - CoreCivic",1230,1084,43
"Jefferson County Sheriffs Office",188,188,43
"Knox County Sheriffs Office",1240,1371,43
"Loudon County Sheriffs Office",163,254,43
"McMinn County Sheriffs Office",272,352,43
"Macon County Sheriffs Office",158,125,43
"Madison County Sheriffs Office",538,822,43
"Marion County Sheriffs Department",133,118,43
"Marshall County Sheriffs Office",112,281,43
"Maury County Sheriffs Department",436,386,43
"Monroe County Sheriffs Department",306,364,43
"Montgomery County Sheriffs Office",398,736,43
"Putnam County Sheriffs Department",343,252,43
"Roane County Sheriffs Office",184,170,43
"Robertson County Sheriffs Office",417,588,43
"Rutherford County Correctional Work Center",98,312,43
"Rutherford County Sheriffs Office",717,977,43
"Sevier County Sheriffs Office",353,570,43
"Shelby County Government Division of Corrections",1099,2680,43
"Shelby County Sheriffs Office",2366,3181,43
"Sullivan County Sheriffs Office",1221,619,43
"Sumner County Sheriffs Office",673,932,43
"Tipton County Sheriffs Office",237,211,43
"Warren County Sheriffs Office",227,251,43
"Washington County Sheriffs Office",665,620,43
"Wayne County Sheriffs Office",130,128,43
"Williamson County Sheriffs Office",295,454,43
"Wilson County Sheriffs Office",472,458,43
"Davidson County Sheriffs Office",1934,2294,43
"Angelina County Sheriffs Department",249,279,44
"Bastrop County Sheriffs Office",258,400,44
"Bell County Sheriffs Department",1226,1184,44
"Bexar County Sheriffs Office",4147,5075,44
"Bowie County Sheriffs Office",487,933,44
"Brazoria County Sheriffs Office",817,1099,44
"Brazos County Sheriffs Office",749,1089,44
"Cameron County Sheriffs Office",1169,1548,44
"Chambers County Sheriffs Office",154,153,44
"Collin County Sheriffs Office",1335,1298,44
"Comal County Sheriffs Office",481,582,44
"Cooke County Sheriffs Office",170,212,44
"Crockett County Sheriffs Office",17,24,44
"Dallas County Sheriffs Department",6017,6753,44
"Denton County Sheriffs Office",1141,1499,44
"Ector County Sheriffs Office",653,1109,44
"Ellis County Sheriffs Office",542,856,44
"El Paso County Sheriffs Office",2381,2472,44
"Erath County Sheriffs Office",101,144,44
"Fort Bend County Sheriffs Office",845,1766,44
"Galveston County Sheriffs Office",1007,1171,44
"Gregg County Sheriffs Office",616,916,44
"Guadalupe County Sheriffs Office",403,598,44
"Harris County Sheriffs Office",8746,10526,44
"Harrison County Sheriffs Office",252,350,44
"Hidalgo County Sheriffs Office",1183,1200,44
"Hopkins County Sheriffs Office",201,192,44
"Hunt County Sheriffs Office",281,345,44
"Jefferson County Sheriffs Office",898,1268,44
"Jefferson County Downtown Detention Center - LaSalle Corrections",305,501,44
"Johnson County Sheriffs Office",788,1101,44
"Kaufman County Sheriffs Office",398,546,44
"Limestone County Sheriffs Office",113,213,44
"Limestone County Detention Center",621,944,44
"Lipscomb County Sheriffs Office",2,13,44
"Lubbock County Sheriffs Office",1419,1512,44
"McLennan County Sheriffs Office",1340,1774,44
"Maverick County Sheriffs Office",177,230,44
"Mills County Sheriffs Office",30,32,44
"Navarro County Sheriffs Office",233,290,44
"Polk County Sheriffs Office",194,248,44
"Potter County Sheriffs Office",498,599,44
"Scurry County Sheriffs Office",92,89,44
"Smith County Sheriffs Office",889,1092,44
"Starr County Sheriffs Office",295,320,44
"Tarrant County Sheriffs Department",4377,4985,44
"Taylor County Sheriffs Office",650,826,44
"Terry County Sheriffs Office",95,174,44
"Tom Green County Sheriffs Office",506,552,44
"Travis County Sheriffs Office",2117,2908,44
"Tyler County Sheriffs Office",39,43,44
"Victoria County Sheriffs Office",334,528,44
"Walker County Sheriffs Department",200,200,44
"Webb County Sheriffs Office",376,571,44
"Williamson County Sheriffs Office",651,1104,44
"Wood County Sheriffs Office",141,157,44
"Fannin County Detention Center",570,664,44
"Geo-Val Verde Correctional Facility",1479,1444,44
"Beaver County Sheriffs Office",349,390,45
"Cache County Sheriffs Office",312,360,45
"Davis County Sheriffs Office",800,814,45
"Rich County Sheriffs Office",3,9,45
"Salt Lake County Sheriffs Office",1922,2455,45
"Utah County Sheriffs Office",565,1172,45
"Washington County Sheriffs Office",409,599,45
"Weber County Sheriffs Office",1307,1148,45
"Arlington County Sheriffs Office",343,509,47
"Chesterfield County Sheriffs Office",345,250,47
"Fairfax County Sheriffs Office",632,1260,47
"Fauquier County Sheriffs Office",22,56,47
"Henrico County Sheriffs Office",1268,857,47
"Rockingham County Sheriffs Office",329,208,47
"Alexandria Sheriffs Office",271,423,47
"Chesapeake City Jail",691,747,47
"Danville Adult Detention Center",74,120,47
"Danville Sheriffs Office",153,222,47
"Newport News Sheriffs Office",399,300,47
"Norfolk Sheriffs Office",628,833,47
"Portsmouth Sheriffs Office",153,288,47
"Virginia Beach Sheriffs Office",954,1871,47
"Albemarle Charlottesville Regional Jail",283,329,47
"Alleghany Regional Jail",73,56,47
"Meherrin River Regional Jail",262,400,47
"Northwestern Regional Adult Detention Center",549,830,47
"Blue Ridge Regional Jail Authority",867,1050,47
"Pamunkey Regional Jail",317,519,47
"Northampton County Sheriffs Office",46,148,47
"Central Virginia Regional Jail Authority",417,442,47
"Piedmont Regional Jail Authority",246,274,47
"Prince William - Manassas Regional Adult Detention Center",505,1320,47
"New River Valley Regional Jail",646,859,47
"Northern Neck Regional Jail",399,500,47
"Western Virginia Regional Jail",670,605,47
"Rockbridge Regional Jail",113,112,47
"Rappahannock Shenandoah Warren Regional Jail",307,375,47
"Southwest Virginia Regional Jail Authority",1601,1964,47
"Rappahannock Regional Jail Authority",2351,1290,47
"Riverside Regional Jail Authority",990,1372,47
"Hampton Roads Regional Jail",291,798,47
"Middle River Regional Jail",566,396,47
"Western Tidewater Regional Jail",747,552,47
"Virginia Peninsula Regional Jail Authority",314,580,47
"Southside Regional Jail Authority",183,100,47
"Benton County Sheriffs Office",416,720,48
"Clallam County Sheriffs Office",75,113,48
"Cowlitz County Corrections Department",646,354,48
"King County Department of Adult and Juvenile Detention",1853,2719,48
"Kitsap County Sheriffs Office",318,486,48
"Pierce County Sheriffs Department",790,1716,48
"Snohomish County Sheriffs Office",519,1244,48
"Spokane County Detention Services",812,978,48
"Thurston County Sheriffs Office",240,491,48
"Whatcom County Sheriffs Office Corrections Bureau",394,267,48
"Yakima County Department of Corrections",668,988,48
"South Correctional Entity (SCorE)",465,802,48
"Yakima Police Department",70,81,48
"Chelan County Regional Justice Center",180,276,48
"Bluefield Police Department",3,16,49
"Eastern Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",416,448,49
"Central Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",362,312,49
"Western Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",581,576,49
"North Central Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",796,564,49
"Potomac Highlands Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",221,312,49
"South Central Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",476,460,49
"Southwestern Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",401,468,49
"Northern Regional Jail and Correction Facility - West Virginia Regional Jail and Correctional Facili",304,289,49
"Southern Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",506,468,49
"Tygart Valley Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",375,368,49
"Brown County Sheriffs Office",760,543,50
"Dane County Sheriffs Office",725,949,50
"Dodge County Sheriffs Office",324,358,50
"Eau Claire County Sheriffs Office",221,418,50
"Grant County Sheriffs Office",69,101,50
"Green Lake County Sheriffs Office",53,108,50
"Jackson County Sheriffs Office",46,60,50
"Kenosha County Sheriffs Department",844,929,50
"Manitowoc County Sheriffs Office",165,199,50
"Milwaukee County Sheriffs Office",1200,956,50
"Milwaukee County House of Correction",948,1500,50
"Oconto County Sheriffs Department",109,145,50
"Racine County Sheriffs Office",520,901,50
"Rock County Sheriffs Office",384,505,50
"Sheboygan County Sheriffs Department",297,390,50
"Vilas County Sheriffs Department",64,133,50
"Waukesha County Sheriff Department",468,807,50
"Winnebago County Sheriffs Office",246,355,50
"Converse County Sheriffs Office",36,80,51
"Fremont County Sheriffs Office",164,188,51
"Laramie County Sheriffs Department",191,435,51
"Lincoln County Sheriffs Office",20,104,51
