"NAME","TOTPOP","RATED","STATE"
"Bulloch County Correctional Institution",155,166,11
"Candler County Sheriffs Office",23,72,11
"Carroll County Sheriffs Office",432,644,11
"Carroll County Correctional Institution",247,241,11
"Chatham County Sheriff Office",1314,2433,11
"Cherokee County Sheriffs Office",559,1088,11
"Clayton County Sheriffs Office",2209,1912,11
"Clayton County Correctional Institution",249,256,11
"Cobb County Sheriffs Office",2082,3200,11
"Coffee County Sheriffs Office",394,468,11
"Coweta County Prison",224,248,11
"Coweta County Sheriffs Office",472,416,11
"Dekalb County Sheriffs Office",1767,3636,11
"Dooly County Office of the Sheriff",43,45,11
"Dougherty County Sheriffs Office",825,1260,11
"Douglas County Sheriffs Office",659,1500,11
"Effingham County Sheriffs Office",193,159,11
"Effingham County Prison",190,190,11
"Floyd County Sheriffs Office",830,721,11
"Floyd County Prison",358,461,11
"Floyd County Work Release Center",56,51,11
"Fulton County Sheriffs Office",8005,3074,11
"Gordon County Sheriffs Office",259,376,11
"Gwinnett County Sheriffs Office",2293,2294,11
"Gwinnett County Department of Correction",336,800,11
"Hall County Sheriffs Office",627,1134,11
"Hall County Correctional Institution",104,226,11
"Henry County Sheriffs Department",817,892,11
"Houston County Sheriffs Office",507,665,11
"Irwin County Detention Center",628,1297,11
"Jackson County Correctional Institution",141,150,11
"Jackson County Sheriffs Office",200,426,11
"Jeff Davis County Sheriffs Office",60,63,11
"Jefferson County Sheriffs Office",124,148,11
"Jefferson County Prison",194,200,11
"Laurens County Sheriffs Office",236,275,11
"Murray County Sheriffs Office",151,160,11
"Newton County Sheriffs Office",492,600,11
"Pike County Sheriffs Office",19,36,11
"Polk County Sheriffs Office",250,320,11
"Rockdale County Sheriffs Office",309,758,11
"Spalding County Sheriffs Office",475,542,11
"Spalding County Correctional Institution",285,384,11
"Stephens County Sheriffs Office",168,194,11
"Thomas County Sheriffs Office",213,480,11
"Tift County Sheriffs Office",263,280,11
"Turner County Sheriffs Office",87,108,11
"Walker County Sheriffs Office",270,225,11
"Ware County Sheriffs Office",383,504,11
"Whitfield County Sheriffs Office",426,544,11
"Athens-Clarke County Correctional Institution",105,123,11
"Clarke County Sheriffs Office",406,874,11
"Athens-Clarke County Diversion Center",149,157,11
"Muscogee County Sheriffs Office",1087,1069,11
"Muscogee County Prison",563,576,11
"Richmond County Sheriffs Office",1121,1064,11
"Richmond County Correctional Institution",226,230,11
"Ada County Sheriffs Office",1938,1216,13
"Bannock County Sheriffs Office",297,330,13
"Benewah County Sheriffs Office",19,16,13
"Bonneville County Sheriffs Office Jail Division",353,533,13
"Canyon County Sheriffs Office",448,525,13
"Caribou County Sheriffs Office",42,51,13
"Kootenai County Sheriffs Office",463,451,13
"Nez Perce County Sheriffs Office",140,165,13
"Cassia County Sheriffs Office",152,170,13
"Adams County Sheriffs Office",138,194,14
"Champaign County Sheriffs Office",294,305,14
"Christian County Sheriffs Office",43,66,14
"Cook County Department of Corrections",7289,6800,14
"Jackson County Sheriffs Office",139,199,14
"Jefferson County Sheriffs Office",170,252,14
"Kane County Sheriffs Office",383,640,14
"Kankakee County Sheriffs Office",617,700,14
"Lawrence County Sheriffs Office",17,22,14
"McHenry County Sheriffs Office",198,650,14
"Macon County Sheriffs Office",322,425,14
"Madison County Sheriffs Office",246,306,14
"Montgomery County Sheriffs Office",42,42,14
"Randolph County Sheriffs Office",33,44,14
"Rock Island County Sheriffs Office",222,329,14
"Sangamon County Sheriffs Office",323,314,14
"Tazewell County Sheriffs Office",142,236,14
"Vermilion County Sheriffs Office",209,410,14
"Washington County Sheriffs Office",19,32,14
"Whiteside County Sheriffs Office",61,129,14
"Williamson County Sheriffs Office",161,244,14
"Winnebago County Sheriffs Office",848,1324,14
"Adams County Sheriffs Office",98,248,15
"Allen County Sheriffs Department",677,732,15
"Bartholomew County Sheriffs Office",228,362,15
"Boone County Sheriffs Office",156,219,15
"Cass County Sheriffs Department",207,384,15
"Clark County Sheriffs Office",492,694,15
"Daviess County Sheriffs Office",162,238,15
"Delaware County Sheriffs Office",344,500,15
"Elkhart County Sheriffs Department",824,950,15
"Floyd County Sheriffs Office",285,369,15
"Grant County Sheriffs Office",358,274,15
"Hamilton County Sheriffs Office",280,519,15
"Jay County Sheriffs Office",87,110,15
"Johnson County Sheriffs Office",302,581,15
"Knox County Sheriffs Department",261,225,15
"Kosciusko County Sheriffs Office",405,305,15
"Lake County Sheriffs Office",996,1050,15
"Madison County Sheriffs Department",232,207,15
"Marshall County Sheriffs Office",176,233,15
"Miami County Sheriffs Office",106,246,15
"Morgan County Sheriffs Office",243,440,15
"Owen County Sheriffs Office",48,72,15
"Porter County Sheriffs Office",363,449,15
"Posey County Sheriffs Office",167,208,15
"Randolph County Sheriffs Office",59,108,15
"St. Joseph County Police Department",755,829,15
"Sullivan County Sheriffs Office",82,54,15
"Tippecanoe County Sheriffs Office",476,603,15
"Vanderburgh County Sheriffs Office",708,512,15
"Vigo County Sheriffs Office",367,495,15
"Warren County Sheriffs Office",18,18,15
"Wayne County Sheriffs Office",257,416,15
"Marion County Jail",2402,2985,15
"Allamakee County Sheriffs Office",6,42,16
"Cass County Sheriffs Office",7,23,16
"Cedar County Sheriffs Office",12,47,16
"Des Moines County Sheriffs Office",75,68,16
"Linn County Correctional Center",375,401,16
"Louisa County Sheriffs Office",14,38,16
"Marshall County Sheriffs Office",108,157,16
"Polk County Sheriffs Office",973,1120,16
"Scott County Sheriffs Office",362,380,16
"Shelby County Sheriffs Office",13,14,16
"Woodbury County Sheriffs Office",203,244,16
"Chase County Sheriffs Office",140,150,17
"Clark County Sheriffs Office",0,8,17
"Coffey County Sheriffs Office",17,18,17
"Dickinson County Sheriffs Office",42,41,17
"Harvey County Sheriffs Office",107,136,17
"Jackson County Sheriffs Office",80,124,17
"Johnson County Sheriffs Office",705,1080,17
"Leavenworth County Sheriffs Office",158,223,17
"Nemaha County Sheriffs Office",8,36,17
"Reno County Sheriffs Office",224,250,17
"Sedgwick County Sheriffs Office",1158,1406,17
"Shawnee County Department of Corrections",555,757,17
"Bell County Detention Center",205,67,18
"Boone County Jail",448,500,18
"Boyd County Detention Center",584,206,18
"Boyle County Detention Center",268,220,18
"Breckinridge County Detention Center",211,191,18
"Campbell County Detention Center",366,561,18
"Carter County Detention Center",185,144,18
"Casey County Detention Center",302,225,18
"Christian County Jail",656,707,18
"Crittenden County Detention Center",195,172,18
"Franklin County Regional Jail",233,318,18
"Grant County Detention Center",172,348,18
"Grayson County Detention Center",783,714,18
"Harlan County Detention Center",276,235,18
"Hart County Jail",171,180,18
"Henderson County Detention Center",524,466,18
"Hopkins County Jail",351,416,18
"Kenton County Detention Center",679,602,18
"Laurel County Corrections Center",638,870,18
"McCracken County Regional Jail",563,470,18
"Madison County Detention Center",350,313,18
"Marion County Detention Center",296,298,18
"Herman Ford Detention Center",173,200,18
"Mason County Detention Center",197,131,18
"Muhlenberg County Detention Center",266,281,18
"Powell County Detention Center",253,213,18
"Pulaski County Detention Center",384,213,18
"Todd County Detention Center",127,137,18
"Warren County Regional Jail",626,562,18
"Whitley County Jail",354,156,18
"Lexington Fayette Urban County Government Division of Community Corrections",1196,1280,18
"Louisville Metro Department of Corrections",1836,1196,18
"Adair County Regional Jail",139,82,18
"Bourbon County Regional Detention Center",260,201,18
"Big Sandy Regional Detention Center",194,150,18
"Kentucky River Regional Jail",247,135,18
"Ascension Parish Sheriffs Office",488,588,19
"Avoyelles Parish Sheriffs Department",410,755,19
"Beauregard Parish Sheriffs Office",137,160,19
"Bienville Parish Sheriffs Office",31,55,19
"Bossier Parish Sheriffs Office",1122,1557,19
"Caddo Parish Sheriffs Office",1391,1500,19
"Calcasieu Parish Sheriffs Office",947,1420,19
"Cameron Parish Sheriffs Office",26,65,19
"Claiborne Parish Sheriffs Office - Detention Center",547,590,19
"De Soto Parish Sheriffs Office",111,131,19
"Evangeline Parish Sheriffs Office",88,72,19
"Lincoln Parish Detention Center",329,284,19
"Livingston Parish Sheriffs Office",639,673,19
"Madison Correctional Center",782,898,19
"Madison Parish Jail",25,32,19
"Natchitoches Parish Sheriffs Office",235,520,19
"Ouachita Parish Sheriffs Office - Transitional Work Program",80,80,19
"Ouachita Parish Correctional Center",1235,1232,19
"Plaquemines Parish Sheriffs Office",627,882,19
"Pointe Coupee Parish Sheriffs Office",94,122,19
"Rapides Parish Sheriffs Office",986,1225,19
"St. Bernard Sheriffs Office",213,266,19
"St. Landry Parish Sheriffs Office",275,244,19
"St. Martin Parish Sheriffs Office",192,186,19
"St. Tammany Parish Sheriffs Office",909,1180,19
"Tangipahoa Parish Sheriffs Office",563,572,19
